id,name,locality,timezone,isMobile,isMonitor,instruments,sensors,licenses,bounds,distance,country.id,country.code,country.name,owner.id,owner.name,provider.id,provider.name,coordinates.latitude,coordinates.longitude,datetimeFirst.utc,datetimeFirst.local,datetimeLast.utc,datetimeLast.local
8893,Vientiane,N/A,Asia/Vientiane,False,True,"[{'id': 2, 'name': 'Government Monitor'}]","[{'id': 25947, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}]","[{'id': 33, 'name': 'US Public Domain', 'attribution': {'name': 'Unknown Governmental Organization', 'url': None}, 'dateFrom': '2016-01-30', 'dateTo': None}]","[102.64, 17.896122, 102.64, 17.896122]",,68,LA,Lao PDR,4,Unknown Governmental Organization,119,AirNow,17.896122,102.64,2019-06-16T02:00:00Z,2019-06-16T09:00:00+07:00,2025-03-04T12:00:00Z,2025-03-04T19:00:00+07:00
225581,Chalermprakiet Hospital,Nan,Asia/Bangkok,False,True,"[{'id': 2, 'name': 'Government Monitor'}, {'id': 2, 'name': 'Government Monitor'}]","[{'id': 1304167, 'name': 'co ppm', 'parameter': {'id': 8, 'name': 'co', 'units': 'ppm', 'displayName': 'CO'}}, {'id': 1304131, 'name': 'no2 ppm', 'parameter': {'id': 7, 'name': 'no2', 'units': 'ppm', 'displayName': 'NO₂'}}, {'id': 16312620, 'name': 'no2 ppb', 'parameter': {'id': 15, 'name': 'no2', 'units': 'ppb', 'displayName': 'NO₂'}}, {'id': 1304296, 'name': 'o3 ppm', 'parameter': {'id': 10, 'name': 'o3', 'units': 'ppm', 'displayName': 'O₃'}}, {'id': 1304169, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': 'PM10'}}, {'id': 1304415, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}, {'id': 16312621, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}, {'id': 16312622, 'name': 'so2 ppb', 'parameter': {'id': 101, 'name': 'so2', 'units': 'ppb', 'displayName': 'SO₂'}}, {'id': 10572344, 'name': 'so2 ppm', 'parameter': {'id': 9, 'name': 'so2', 'units': 'ppm', 'displayName': 'SO₂'}}]",,"[101.0815166, 19.5759666, 101.0815166, 19.5759666]",,68,LA,Lao PDR,4,Unknown Governmental Organization,118,Air4Thai,19.5759666,101.0815166,2021-04-29T19:00:00Z,2021-04-30T02:00:00+07:00,2026-07-02T02:00:00Z,2026-07-02T09:00:00+07:00
1236039,"Ramrachpittayakom school 1, Tha Uthen, Nakhon Phanom ",,Asia/Vientiane,False,False,"[{'id': 7, 'name': 'Unknown AirGradient Sensor'}]","[{'id': 6530260, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}, {'id': 6530249, 'name': 'temperature c', 'parameter': {'id': 100, 'name': 'temperature', 'units': 'c', 'displayName': 'Temperature (C)'}}]","[{'id': 41, 'name': 'CC BY 4.0', 'attribution': {'name': 'Unknown Governmental Organization', 'url': None}, 'dateFrom': '2023-07-15', 'dateTo': None}]","[104.59359950739773, 17.590600899092816, 104.59359950739773, 17.590600899092816]",,68,LA,Lao PDR,4,Unknown Governmental Organization,66,AirGradient,17.590600899092816,104.59359950739773,2023-07-15T13:00:00Z,2023-07-15T20:00:00+07:00,2023-11-27T02:00:00Z,2023-11-27T09:00:00+07:00
1236360,"Bungkan School 1, Mueang, Bungkan",,Asia/Vientiane,False,True,"[{'id': 2, 'name': 'Government Monitor'}]","[{'id': 6530416, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}, {'id': 6530414, 'name': 'temperature c', 'parameter': {'id': 100, 'name': 'temperature', 'units': 'c', 'displayName': 'Temperature (C)'}}]",,"[103.66396050996747, 18.389836926387506, 103.66396050996747, 18.389836926387506]",,68,LA,Lao PDR,4,Unknown Governmental Organization,1,N/A,18.389836926387506,103.66396050996747,2023-07-15T13:00:00Z,2023-07-15T20:00:00+07:00,2023-11-01T05:00:00Z,2023-11-01T12:00:00+07:00
3303813,"Sokpaluang Campus, Chemical Engineering, National University of Laos",,Asia/Vientiane,False,False,"[{'id': 7, 'name': 'Unknown AirGradient Sensor'}]","[{'id': 11562382, 'name': 'pm1 µg/m³', 'parameter': {'id': 19, 'name': 'pm1', 'units': 'µg/m³', 'displayName': 'PM1'}}, {'id': 11562364, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': 'PM10'}}, {'id': 11562373, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}, {'id': 11562381, 'name': 'relativehumidity %', 'parameter': {'id': 98, 'name': 'relativehumidity', 'units': '%', 'displayName': 'RH'}}, {'id': 11562388, 'name': 'temperature c', 'parameter': {'id': 100, 'name': 'temperature', 'units': 'c', 'displayName': 'Temperature (C)'}}, {'id': 11562358, 'name': 'um003 particles/cm³', 'parameter': {'id': 125, 'name': 'um003', 'units': 'particles/cm³', 'displayName': 'PM0.3 count'}}]","[{'id': 41, 'name': 'CC BY 4.0', 'attribution': {'name': 'Unknown Person', 'url': None}, 'dateFrom': '2023-07-15', 'dateTo': None}]","[102.62606, 17.94495, 102.62606, 17.94495]",,68,LA,Lao PDR,11509,Unknown Person,66,AirGradient,17.94495,102.62606,2024-12-07T09:00:00Z,2024-12-07T16:00:00+07:00,2024-12-10T12:00:00Z,2024-12-10T19:00:00+07:00
3400942,Burnadelphia ,,Asia/Vientiane,False,False,"[{'id': 24, 'name': 'AirGradient Open Air Generation 1 (O-1PST)'}]","[{'id': 12178287, 'name': 'pm1 µg/m³', 'parameter': {'id': 19, 'name': 'pm1', 'units': 'µg/m³', 'displayName': 'PM1'}}, {'id': 12178288, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}, {'id': 12178289, 'name': 'relativehumidity %', 'parameter': {'id': 98, 'name': 'relativehumidity', 'units': '%', 'displayName': 'RH'}}, {'id': 12178290, 'name': 'temperature c', 'parameter': {'id': 100, 'name': 'temperature', 'units': 'c', 'displayName': 'Temperature (C)'}}, {'id': 12178519, 'name': 'um003 particles/cm³', 'parameter': {'id': 125, 'name': 'um003', 'units': 'particles/cm³', 'displayName': 'PM0.3 count'}}]","[{'id': 41, 'name': 'CC BY 4.0', 'attribution': {'name': 'Unknown Person', 'url': None}, 'dateFrom': '2023-07-15', 'dateTo': None}]","[102.632, 17.938, 102.632, 17.938]",,68,LA,Lao PDR,11509,Unknown Person,66,AirGradient,17.938,102.632,2025-02-11T18:00:00Z,2025-02-12T01:00:00+07:00,2026-06-05T03:00:00Z,2026-06-05T10:00:00+07:00
3400986,"Chomphet Secondary School - Sisattanak, Vientiane Capital ມັດທະຍົມສົມບູນ ຈອມເພັດ",,Asia/Vientiane,False,False,"[{'id': 7, 'name': 'Unknown AirGradient Sensor'}]","[{'id': 12311506, 'name': 'pm1 µg/m³', 'parameter': {'id': 19, 'name': 'pm1', 'units': 'µg/m³', 'displayName': 'PM1'}}, {'id': 12311507, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}, {'id': 12311508, 'name': 'relativehumidity %', 'parameter': {'id': 98, 'name': 'relativehumidity', 'units': '%', 'displayName': 'RH'}}, {'id': 12311509, 'name': 'temperature c', 'parameter': {'id': 100, 'name': 'temperature', 'units': 'c', 'displayName': 'Temperature (C)'}}, {'id': 12311510, 'name': 'um003 particles/cm³', 'parameter': {'id': 125, 'name': 'um003', 'units': 'particles/cm³', 'displayName': 'PM0.3 count'}}]","[{'id': 41, 'name': 'CC BY 4.0', 'attribution': {'name': 'UNICEF', 'url': None}, 'dateFrom': '2023-07-15', 'dateTo': None}]","[102.622708, 17.910254, 102.622708, 17.910254]",,68,LA,Lao PDR,11271,UNICEF,66,AirGradient,17.910254,102.622708,2025-02-26T05:00:00Z,2025-02-26T12:00:00+07:00,2026-06-07T03:00:00Z,2026-06-07T10:00:00+07:00
3474952,"Salakham Secondary School - Hadxaifong District, Vientiane Capital",,Asia/Vientiane,False,False,"[{'id': 7, 'name': 'Unknown AirGradient Sensor'}]","[{'id': 12311481, 'name': 'pm1 µg/m³', 'parameter': {'id': 19, 'name': 'pm1', 'units': 'µg/m³', 'displayName': 'PM1'}}, {'id': 12311482, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}, {'id': 12311483, 'name': 'relativehumidity %', 'parameter': {'id': 98, 'name': 'relativehumidity', 'units': '%', 'displayName': 'RH'}}, {'id': 12311484, 'name': 'temperature c', 'parameter': {'id': 100, 'name': 'temperature', 'units': 'c', 'displayName': 'Temperature (C)'}}, {'id': 12311485, 'name': 'um003 particles/cm³', 'parameter': {'id': 125, 'name': 'um003', 'units': 'particles/cm³', 'displayName': 'PM0.3 count'}}]","[{'id': 41, 'name': 'CC BY 4.0', 'attribution': {'name': 'UNICEF', 'url': None}, 'dateFrom': '2023-07-15', 'dateTo': None}]","[102.648658, 17.880817, 102.648658, 17.880817]",,68,LA,Lao PDR,11271,UNICEF,66,AirGradient,17.880817,102.648658,2025-02-26T05:00:00Z,2025-02-26T12:00:00+07:00,2026-05-27T05:00:00Z,2026-05-27T12:00:00+07:00
3478630,"Santiphab Secondary School - Luangprabang, Luangprabang ມັດທະຍົມ ສັນຕິພາບ",,Asia/Vientiane,False,False,"[{'id': 7, 'name': 'Unknown AirGradient Sensor'}]","[{'id': 12311486, 'name': 'pm1 µg/m³', 'parameter': {'id': 19, 'name': 'pm1', 'units': 'µg/m³', 'displayName': 'PM1'}}, {'id': 12311487, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}, {'id': 12311488, 'name': 'relativehumidity %', 'parameter': {'id': 98, 'name': 'relativehumidity', 'units': '%', 'displayName': 'RH'}}, {'id': 12311489, 'name': 'temperature c', 'parameter': {'id': 100, 'name': 'temperature', 'units': 'c', 'displayName': 'Temperature (C)'}}, {'id': 12311490, 'name': 'um003 particles/cm³', 'parameter': {'id': 125, 'name': 'um003', 'units': 'particles/cm³', 'displayName': 'PM0.3 count'}}]","[{'id': 41, 'name': 'CC BY 4.0', 'attribution': {'name': 'UNICEF', 'url': None}, 'dateFrom': '2023-07-15', 'dateTo': None}]","[102.139832, 19.880332, 102.139832, 19.880332]",,68,LA,Lao PDR,11271,UNICEF,66,AirGradient,19.880332,102.139832,2025-02-26T05:00:00Z,2025-02-26T12:00:00+07:00,2026-06-30T06:00:00Z,2026-06-30T13:00:00+07:00
3478631,"Thaphabath Secondary School - Thaphabath, Bolikhamxai",,Asia/Vientiane,False,False,"[{'id': 7, 'name': 'Unknown AirGradient Sensor'}]","[{'id': 12311496, 'name': 'pm1 µg/m³', 'parameter': {'id': 19, 'name': 'pm1', 'units': 'µg/m³', 'displayName': 'PM1'}}, {'id': 12311497, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}, {'id': 12311498, 'name': 'relativehumidity %', 'parameter': {'id': 98, 'name': 'relativehumidity', 'units': '%', 'displayName': 'RH'}}, {'id': 12311499, 'name': 'temperature c', 'parameter': {'id': 100, 'name': 'temperature', 'units': 'c', 'displayName': 'Temperature (C)'}}, {'id': 12311500, 'name': 'um003 particles/cm³', 'parameter': {'id': 125, 'name': 'um003', 'units': 'particles/cm³', 'displayName': 'PM0.3 count'}}]","[{'id': 41, 'name': 'CC BY 4.0', 'attribution': {'name': 'UNICEF', 'url': None}, 'dateFrom': '2023-07-15', 'dateTo': None}]","[103.198076, 18.356826, 103.198076, 18.356826]",,68,LA,Lao PDR,11271,UNICEF,66,AirGradient,18.356826,103.198076,2025-02-26T05:00:00Z,2025-02-26T12:00:00+07:00,2026-07-03T15:00:00Z,2026-07-03T22:00:00+07:00
